StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget,Unnamed: 9
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กเลียบพร้อมท่อระบายน้ำซอยปิ่นทองแลนด์หมู่ที่3ตำบลหน้าไม้อำเภอลาดหลุมแก้วจังหวัดปทุมธานี,,กิจกรรมย่อยที่ 1) ก่อสร้างถนนคอนกรีตเสริมเหล็ก ขนาดผิวจราจรกว้าง 5 เมตร ยาว 740 เมตร ไหล่ทางขนาด 0.50 เมตร พร้อมท่อระบายน้ำ,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอลาดหลุมแก้ว,,"5,176,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,สะพานลอยข้ามทางรถไฟชานเมือง,,ก่อสร้างสะพานลอย กว้างประมาณ 2.80 เมตร ยาวประมาณ 80.00 เมตร,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"21,159,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคสล.พร้อมวางท่อระบายน้ำคสล.ถนนเลียบคลองรังสิตประยูรศักดิ์ฝั่งใต้ช่วงหมู่บ้านพฤกษาวิลล์รังสิต-คลองสองถึงสะพานหมู่บ้านชมฟ้า-วรางกูลตำบลประชาธิปัตย์อำเภอธัญบุรีจังหวัดปทุมธานี,,ก่อสร้างถนน คสล. กว้าง 12 เมตร ระยะทาง 115.00 เมตร หนา 0.20 เมตร พร้อมท่อระบายน้ำ คสล.,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"2,491,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคสล.พร้อมวางท่อระบายน้ำคสล.ถนนเลียบคลองรังสิตประยูรศักดิ์ฝั่งใต้ช่วงหมู่บ้านสีวลี2ถึงหมู่บ้านมัณฑนา2ตำบลประชาธิปัตย์อำเภอธัญบุรีจังหวัดปทุมธานี,,"ทำการก่อสร้างถนน คสล. หนา 0.20 เมตร ผิวจราจรกว้าง 12.00 เมตร ความยาวประมาณ 230.50 เมตร หรือมีพื้นที่ผิวจราจร รวมบ่อพักรางวีไม่น้อยกว่า 2,766 ตารางเมตร และวางท่อระบายน้ำ คสล.เส้นผ่านศูนย์กลาง 1.20 เมตร พร้อมวางบ่อพัก คสล. จำนวน 19 บ่อ หรือความยาวท่อรวมบ่อพักไม่น้อยกว่า 230.50 เมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"4,938,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ปรับปรุงถนนเลียบคลองรังสิตประยูรศักดิ์จากคลองซอยที่3ถึงคลองซอยที่4หมู่ที่1ตำบลบึงยี่โถอำเภอธัญบุรีจังหวัดปทุมธานี,,"ลาดยางแอสฟัลติกคอนกรีต หนา 0.05 เมตร ความยาวรวม 2,560 เมตร ทำทางเท้า คสล. หนา 0.15 เมตร ความยาวรวม 1,955 เมตร วางท่อระบายน้ำ Ø 00.30 เมตร พร้อมบ่อพักความยาวรวม 1,790 และขยายถนน คสล. หนา 0.15 เมตร พื้นที่รวม 2,450 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"6,500,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,โครงการปรับปรุงถนนเลียบคลองรังสิตฯจากคลองซอยที่4ถึงคลองซอยที่5ตำบลบึงยี่โถอำเภอธัญบุรีจังหวัดปทุมธานี,,"ลาดยางแอสฟัลติกคอนกรีต หนา 0.05 เมตร ความยาวรวม 2,585 เมตร ทำทางเท้า คสล. หนา 0.15 เมตร ความยาวรวม 3,125 เมตร วางท่อระบายน้ำ 00.30 เมตร พร้อมบ่อพักความยาวรวม 2,076 และขยายถนน คสล. หนา 0.15 เมตร พื้นที่รวม 3,632 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"14,000,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ปรับปรุงถนนเลียบคลองรังสิตฯจากคลองซอยที่5(ฝั่งทิศใต้)ชุมชนจินดาสุขตำบลบึงยี่โถอำเภอธัญบุรีจังหวัดปทุมธานี,,"เทถนนคสล. หนา 0.15 เมตร กว้าง 4.00-6.00 เมตร ยาว 643 เมตร พื้นที่รวมไม่น้อยกว่า 3,070 ตารางเมตร พร้อมวางท่อระบายน้ำและท่อคอร์ส 4 จุด ท่อคสล. 0 0.30 เมตร และบ่อพัก คสล. ความยาวรวม 668 เมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"2,550,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนรังสิต-นครนายกซอย69/1ตำบลบึงยี่โถอำเภอธัญบุรีจังหวัดปทุมธานี,,"เทถนนคสล. หนา 0.15 เมตร กว้าง 8.00 เมตร ยาว 220 เมตร พื้นที่รวมไม่น้อยกว่า 1,760 ตารางเมตร พร้อมวางท่อระบายน้ำคสล. 0 0.80 เมตร และบ่อพัก คสล. ความยาวรวม 440 เมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอธัญบุรี,,"4,740,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กถนนเลียบคลองส่งน้ำที่7ซ้ายหมู่ที่5-หมู่ที่6ตำบลคลองสี่อำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็กขนาดกว้าง 6.00 เมตร ยาว 1,200 เมตร หนา 0.15 เมตร หรือมีพื้นที่ผิวจราจรไม่น้อยกว่า 7,200 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"5,000,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยคะแอ่นหมู่ที่7ตำบลคลองห้าอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็ก ขนาดกว้าง 5.00 เมตร ยาว 560.00 เมตร หนา 0.15 เมตร หรือมีพื้นที่ไม่น้อยกว่า 2,800 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"4,000,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยคลองหกตะวันตก31(ซอยสุทธิพันธ์)หมู่ที่5ตำบลคลองหกอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็ก ขนาดกว้าง 6.00 เมตร ยาว 1,100.00 เมตร หนา 0.15 เมตร หรือมีพื้นที่ไม่น้อยกว่า 6,600 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"5,452,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กพร้อมวางท่อระบายน้ำซอยป้าสั้นหมู่ที่1ตำบลคลองเจ็ดอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็ก ขนาดกว้าง 5.00 เมตร ยาว 470 เมตร หนา 0.20 เมตร หรือปริมาณไม่น้อยกว่า 2,350 ตารางเมตร วางท่อระบายน้ำ คอนกรีตเสริมเหล็ก ขนาดเส้นผ่าศูนย์กลาง 0.40 เมตร พร้อมบ่อพักสำเร็จรูป คอนกรีตเสริมเหล็ก วางท่อเมนประปา PVC ขนาดเส้นผ่าศูนย์กลาง 3 นิ้ว",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"3,140,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยสร้อยสุขหมู่ที่6ตำบลคลองเจ็ดอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็กกว้าง 6.00 เมตร ยาว 824 เมตร หนา 0.20 เมตร หรือปริมาณงานไม่น้อยกว่า 4,944 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"6,570,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนลาดยางแอสฟัลท์ติกคอนกรีตซอยเฉลิมพระเกียรติ2หมู่ที่7ตำบลคลองเจ็ดอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนลาดยางแอสฟัลท์ติกคอนกรีตกว้าง 6.00 เมตร ยาว 624 เมตร หนา 0.05 เมตร หรือปริมาณงานไม่น้อยกว่า 3,744 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"2,220,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนแอสฟัลท์ติกคอนกรีตซอยปฏิรูปหมู่ที่16ตำบลคลองห้าอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนแอสฟัลท์ติกคอนกรีตกว้าง 4.00 เมตร ยาว 1,100 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 4,400 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"1,990,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,คอนกรีตเสริมเหล็กซอยคลองหกตะวันตก69(ซ.ราชพฤกษ์)หมู่ที่12ตำบลคลองหกอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างคอนกรีตเสริมเหล็กกว้าง 6.00 เมตร ยาว 1,115 เมตร หนา 0.15 เมตร หรือมีพื้นที่ไม่น้อยกว่า 6,690 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"5,138,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนลาดยางแอสฟัลท์ติกคอนกรีตซอยลุงประสิทธิ์หมู่ที่8ตำบลคลองเจ็ดอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนลาดยางแอสฟัลท์ติกคอนกรีต กว้าง 4.00 เมตร ระยะทาง 720 เมตร หนา 0.05 เมตร หรือปริมาณงานไม่น้อยกว่า 2,880 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"1,400,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ปรับปรุงถนนคสล.ซอยคลองสี่ตะวันตก11หมู่ที่4ตำบลคลองสี่อำเภอคลองหลวงจังหวัดปทุมธานี,,"ปรับปรุงถนน คสล. กว้าง 6.00 เมตร ยาว 450.00 เมตร หนา 0.15 เมตร หรือมีพื้นที่ผิวจราจรไม่น้อยกว่า 2,700.00 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"2,000,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยคลองหกตะวันออก54(ซอยลุงหุ่น)หมู่ที่4ตำบลคลองหกอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็ก กว้าง 6.00 เมตร ยาว 1,200 เมตร หนา 0.15 เมตร หรือปริมาณงานไม่น้อยกว่า 7,200 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"6,106,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยคลองหกตะวันตก35(ซอยสุทธิพันธ์)หมู่ที่5ตำบลคลองหกอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็ก กว้าง 6.00 เมตรยาว 1,100 เมตร หนา 0.15 เมตร หรือปริมาณงานไม่น้อยกว่า 6,600 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"4,998,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยคลองหกตะวันออก78(ซอยชมบุญอุทิศ)หมู่ที่6ตำบลคลองหกอำเภอคลองหลวงจังหวัดปทุมธานี,,"ก่อสร้างถนนคอนกรีตเสริมเหล็ก กว้าง 6.00 เมตร ยาว 1,200 เมตร หนา 0.15 เมตร หรือปริมาณงานไม่น้อยกว่า 7,200 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอคลองหลวง,,"5,453,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคอนกรีตเสริมเหล็กซอยเจริญสุขหมู่ที่9ตำบลบึงทองหลางอำเภอลำลูกกาจังหวัดปทุมธานี,,ก่อสร้างถนนคอนกรีตเสริมเหล็ก ระยะทาง 159 เมตร กว้าง 4.20 เมตร หนา 0.15 เมตร หรือคิดเป็นพื้นที่ใช้ประโยชน์ไม่น้อยกว่า 667.80 ตารางเมตร,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอลำลูกกา,,"794,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,สะพานคสล.ข้ามคลองเปรมประชากรหมู่ที่8ตำบลสวนพริกไทยอำเภอเมืองปทุมธานีจังหวัดปทุมธานี,,ก่อสร้างสะพาน คสล. กว้าง 7 เมตร ยาว 34 เมตร มีทางเท้ากว้างข้างละ 1 เมตร,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอเมืองปทุมธานี,,"3,378,300.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ขยายเขตประปาส่วนภูมิภาคหมู่1-8ตำบลสวนพริกไทยอำเภอเมืองปทุมธานีจังหวัดปทุมธานี,,วางท่อประปา Ø 110 มม. - Ø 250 มม. ระยะทางประมาณ 15 กม.,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,ประชาชนในพื้นที่มีน้ำประปาที่สะอาดใช้,ที่ทำการปกครองอำเภอเมืองปทุมธานี,,"16,176,627.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนพร้อมท่อระบายน้ำบ่อพักและรางวีคสล.ซอยเจริญสุขหมู่ที่4ตำบลสวนพริกไทยอำเภอเมืองปทุมธานีจังหวัดปทุมธานี,,ก่อสร้างถนนพร้อมท่อระบายน้ำบ่อพักและรางวี กว้าง 5.20 เมตร ยาวไม่น้อยกว่า 435.00 เมตร ผิวถนนหนา 0.15 เมตร พร้อมวางท่อระบายน้ำ คสล. Ø 0.40 เมตรบ่อพัก 84 บ่อ,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอเมืองปทุมธานี,,"4,238,300.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนคสล.ซอยกิตติจิตต์(ขนส่ง)ช่วงต่อจากสำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานีถึงสำนักงานอุตสาหกรรมจังหวัดปทุมธานีหมู่ที่1ตำบลบ้านฉางอำเภอเมืองปทุมธานีจังหวัดปทุมธานี,,"ก่อสร้างถนน คสล. ขนาดกว้าง 6.00 เมตร ยาว 413.00 เมตร หนา 0.20 เมตร ไหล่ทางแอสฟัลท์ติก ขนาดกว้างข้างละ 1.00 เมตร หรือมีพื้นที่รวมไม่น้อยกว่า 2,478 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอเมืองปทุมธานี,,"3,653,300.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ติดตั้งโคมไฟชนิดโซล่าเซลล์วัตต์บนสันเขื่อนกั้นน้ำหมู่ที่1และ2ตำบลบ้านใหม่อำเภอเมืองปทุมธานีจังหวัดปทุมธานี,,ติดตั้งโคมไฟ LED ชนิดโซล่าเซลล์ ขนาด 50 วัตต์ จำนวน 68 ต้น,ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,ประชาชนในพื้นที่มีปลอดภัยมากขึ้น,ที่ทำการปกครองอำเภอเมืองปทุมธานี,,"2,161,977.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนค.ส.ล.ซอย4หมู่3ตำบลบึงกาสามอำเภอหนองเสือจังหวัดปทุมธานี,,"ก่อสร้างถนน ค.ส.ล. กว้าง 4.00 เมตร ยาว 1,200 เมตร หนา 0.15 เมตร หรือพื้นที่ไม่น้อยกว่า 4,800 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอหนองเสือ,,"3,710,000.00",
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพ เพื่อรองรับการขยายตัวของเมือง,ถนนค.ส.ล.ซอย2หมู่4ตำบลบึงกาสามอำเภอหนองเสือจังหวัดปทุมธานี,,"ก่อสร้างถนน ค.ส.ล. กว้าง 4.00 เมตร ยาว 1,200 เมตร หนา 0.15 เมตร หรือพื้นที่ไม่น้อยกว่า 4,800 ตารางเมตร",ยุทธศาสตร์ชาติด้านการสร้างโอกาสและความเสมอภาคทางสังคม,"1. ประชาชนได้รับความปลอดภัยในชีวิตและทรัพย์สิน
2. ประชาชนได้ใช้เส้นทางในการคมนาคมได้สะดวกและรวดเร็ว",ที่ทำการปกครองอำเภอหนองเสือ,,"3,710,000.00",
